second,stored
1,283
2,735
3,1164
4,1631
5,2089
6,2538
7,3007
8,3444
9,3892
10,4328
11,4806
12,5235
13,5692
14,6057
15,6425
16,6791
17,6818
18,6818
19,6818
20,6819
21,6819
22,6819
23,6819
24,6819
25,6819
26,6819
27,6819
28,6819
29,6819
30,6819
31,6819
32,6819
33,6819
34,6819
35,6819
36,6819
37,6819
38,6819
39,6819
40,6819
41,6819
42,6819
43,6819
44,6819
45,6819
46,6819
47,6819
48,6819
49,6819
50,6819
51,6819
52,6819
53,6819
54,6819
55,6819
56,6819
57,6819
58,6819
59,6819
60,6819
61,6819
62,6819
63,6819
64,6819
